species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Vireo leucophrys	bird	3	2	18	0.0000	2	20.99	22.48	15.3	-4.3	-79.0	-90.2					0.003052	0.005323	0.007515	0.007515	0.012821	0.000000	0.008333	LC	12.3	1	species					invertivore	frugivore	species							
Vireo magister	bird	348	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.138978	0.138978	0.138978	0.138978	0.138978		1.611111	LC	15.4	1	species					invertivore	frugivore	genus							
Vireo olivaceus	bird	146	14	81	0.1235	14	28.88	110.94	20.4	-27.2	-35.1	-88.5	18.000	27.300	430.0	4260.0	0.008076	0.003484	0.002880	0.007031	0.116505	0.003201	0.010635	LC	16.0699231436455	3	species					invertivore	frugivore	species							
Vireo pallens	bird	8	1			1			16.1	16.1	-86.9	-86.9	26.700	26.700	2884.0	2884.0	0.077670	0.077670	0.077670	0.077670	0.077670			LC	11	1	species					invertivore	frugivore	genus							
Vireo philadelphicus	bird	4	2	2	0.0000	1		0.05	10.3	10.3	-84.8	-84.8	18.500	18.500	2500.0	2500.0	0.003721	0.003242	0.003970	0.003970	0.006263	0.000000		LC	11.5	1	species					invertivore		species							
Vireo solitarius	bird	7	2	3	0.0000	2	3.15	3.67	18.4	15.3	-92.7	-94.9	25.6	26.85	1873.0	1993.0	0.008102	0.007629	0.007657	0.007657	0.008322	0.000000	0.020000	LC	15.3	1	species					invertivore	frugivore	species							
Volatinia jacarina	bird	240	22	73	0.2466	17	26.28	92.85	15.8	-23.8	-45.9	-90.8	15.500	27.000	436.0	4260.0	0.014189	0.012538	0.015958	0.038934	0.093750	0.006553	0.005672	LC	9.94685880064656	2	species					granivore		species							
Willisornis poecilinotus	bird	364	15	21	0.5238	12	12.70	60.99	7.8	-14.1	-50.0	-76.2	24.000	26.700	1450.0	3500.0	0.040539	0.032791	0.032813	0.055794	0.078740	0.031193	0.038307	LC								invertivore		species							
Wilsonia canadensis	bird	8	4	6	0.1667	3	3.36	5.13	10.4	9.2	-79.7	-84.8	18.500	27.000	2500.0	4260.0	0.003172	0.002916	0.003916	0.006799	0.007335	0.001265	0.001953	LC	10.3	1	species					invertivore	frugivore	species							
Wilsonia citrina	bird	59	10	15	0.4000	6	4.61	14.65	18.4	13.7	-85.8	-95.1	24.400	28.4	1050.0	2500.0	0.019075	0.014553	0.010783	0.027574	0.156250	0.006918	0.040902	LC	10.8	1	species					invertivore		species							
Wilsonia pusilla	bird	95	12	26	0.3462	6	6.95	17.60	18.4	9.6	-81.7	-95.1	13.250	28.4	1050.0	2550.0	0.032804	0.028737	0.042310	0.059222	0.175000	0.007562	0.075758	LC	7.09929573971954	2	species					invertivore	frugivore	species							
Xenops milleri	bird	1	1			1			-2.6	-2.6	-64.7	-64.7			2500.0	2500.0	0.004167	0.004167	0.004167	0.004167	0.004167		0.025000		12.2	1	species					invertivore		species							
Xenops minutus	bird	173	36	85	0.3765	21	23.23	115.78	17.6	-23.7	-35.0	-89.1	18.000	27.000	1200.0	4260.0	0.009021	0.008370	0.006667	0.017742	0.048780	0.004365	0.007523	LC	10.6	1	species					invertivore		species							
Xenops rutilans	bird	5	1			1			-22.9	-22.9	-52.2	-52.2	21.000	21.000	1200.0	1200.0	0.002899	0.002899	0.002899	0.002899	0.002899			LC	11.209817126073	2	species					invertivore		species							
Xiphocolaptes albicollis	bird	13	2			2	5.63	5.11	-22.9	-23.6	-46.6	-52.2	18.000	21.000	1200.0	1400.0	0.005601	0.003416	0.004317	0.004317	0.006957		0.007143	LC	118	1	species					invertivore		species							
