species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Cranioleuca albicapilla	bird	2	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.014085	0.014085	0.014085	0.014085	0.014085			LC								invertivore		genus							
Cranioleuca antisiensis	bird	4	2			2	3.00	3.12	-4.3	-7.4	-78.8	-79.0	15.45	15.45	895.0	895.0	0.002690	0.002756	0.002823	0.002823	0.003436		0.009174	LC	16.8789810118976	2	species					invertivore		genus							
Cranioleuca curtata	bird	1	1			1			-4.3	-4.3	-79.0	-79.0					0.001105	0.001105	0.001105	0.001105	0.001105		0.004167	VU	17.5	1	species					invertivore		genus							
Cranioleuca subcristata	bird	8	2			1		0.00	10.5	10.5	-66.9	-66.9	23	23	750.0	750.0	0.034632	0.023174	0.031418	0.031418	0.052632		0.050000	LC	14.7	1	species					invertivore		species							
Cranioleuca vulpina	bird	6	1			1			-16.3	-16.3	-56.8	-56.8					0.050420	0.050420	0.050420	0.050420	0.050420		0.020000	LC	15.7	1	species					invertivore		genus							
Crotophaga ani	bird	42	6	61	0.0492	6	26.22	60.67	16.1	-19.6	-45.9	-86.9	22.500	26.700	1000.0	2884.0	0.016067	0.010698	0.015056	0.019629	0.023449	0.001435	0.006667	LC	110.33232830313	3	species					invertivore		species							
Crotophaga major	bird	1	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.000756	0.000756	0.000756	0.000756	0.000756		0.000181	LC	157	1	species					invertivore	granivore	genus							
Crotophaga sulcirostris	bird	178	7	26	0.1538	6	8.62	26.88	17.2	-4.3	-79.0	-90.8	24.400	26.600	2000.0	3500.0	0.029397	0.008789	0.005714	0.025608	0.046875	0.014763	0.008333	LC	87.3	1	species					granivore	invertivore	species							
Crypturellus parvirostris	bird	2	2	7	0.0000	2	9.61	11.85	-17.0	-23.8	-45.9	-56.3	22.500	22.55	1291.0	1442.0	0.002353	0.002778	0.003281	0.003281	0.005025	0.000000		LC	180	1	species					frugivore		species							
Crypturellus soui	bird	1	1			1			-8.5	-8.5	-74.7	-74.7	25.700	25.700	2400.0	2400.0	0.006289	0.006289	0.006289	0.006289	0.006289		0.006173	LC	198	1	species					frugivore		species							
Crypturellus tataupa	bird	5	1			1			-22.9	-22.9	-52.2	-52.2	21.000	21.000	1200.0	1200.0	0.002899	0.002899	0.002899	0.002899	0.002899			LC	202	1	species					frugivore		species							
Crypturellus undulatus	bird	1	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.000756	0.000756	0.000756	0.000756	0.000756		0.000181	LC	513	1	species					frugivore		species							
Crypturellus variegatus	bird	2	2			1		0	-3.4	-3.4	-54.9	-54.9	25.05	25.05	1920.0	1920.0	0.000903	0.000911	0.000920	0.000920	0.001042		0.000651	LC	378	1	species					frugivore		species							
Culicivora caudacuta	bird	4	2	1	0.0000	2	6.29	6.23	-15.6	-21.8	-46.6	-47.6	19.5	20.7	1500.0	1552.0	0.003075	0.003148	0.003223	0.003223	0.003914	0.001957	0.005571	VU																	
Curaeus curaeus	bird	5	2	1	0.0000	2	2.00	2.47	-33.4	-35.4	-70.5	-72.3	13.35	14.800	434.0	481.0	0.002063	0.003048	0.010587	0.010587	0.020725	0.000000	0.002203	LC	83.7	1	species					omnivore		species							
Cyanerpes caeruleus	bird	11	4	11	0.0909	4	12.53	31.19	10.4	-3.4	-54.9	-71.0	24.000	26.000	876.0	3500.0	0.002382	0.003248	0.002230	0.012071	0.021277	0.000798	0.001302	LC	12	1	species					nectarivore		species							
Cyanerpes cyaneus	bird	16	7	56	0.0714	4	35.89	64.45	15.3	-10.2	-35.1	-92.7	24.000	27.000	1300.0	2000.0	0.010396	0.011240	0.009709	0.020001	0.023256	0.000320	0.014286	LC	14	1	species					invertivore	nectarivore	species							
Cyanerpes lucidus	bird	3	2			1		0	13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.004644	0.004476	0.004517	0.004517	0.005128			LC	11.4	1	species					frugivore		species							
Cyanocitta stelleri	bird	2	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.005814	0.005814	0.005814	0.005814	0.005814		0.007812	LC																	
Cyanocompsa brissonii	bird	1	1			1			-27.2	-27.2	-65.6	-65.6	18.800	18.800	1700.0	1700.0	0.000706	0.000706	0.000706	0.000706	0.000706		0.001667	LC	27.5	1	species					granivore		genus							
Cyanocompsa cyanea	bird	100	1			1			10.4	10.4	-64.2	-64.2	26.35	26.35	436.0	436.0	0.030479	0.030479	0.030479	0.030479	0.030479		0.126263									granivore		genus							
Cyanocompsa cyanoides	bird	175	25	62	0.3387	17	19.85	83.21	17.6	-14.1	-50.0	-95.1	23	28.4	750.0	4260.0	0.010138	0.008674	0.009662	0.019663	0.045333	0.005218	0.006543	LC	32.5	1	species					granivore		species							
Cyanocompsa parellina	bird	2	2			2	1.39	1.15	17.6	16.5	-88.7	-89.1	26.25	27.000	1500.0	3035.0	0.002506	0.003010	0.003615	0.003615	0.005618		0.001852	LC	16.1	1	species					granivore		species							
Cyanocorax cayanus	bird	2	1			1			7.8	7.8	-61.1	-61.1	26.000	26.000	1631.0	1631.0	0.000819	0.000819	0.000819	0.000819	0.000819			LC								omnivore		genus							
Cyanocorax chrysops	bird	4	3	3	0.3333	3	7.97	15.13	-20.8	-27.2	-51.7	-65.6	18.800	21.000	1200.0	1700.0	0.001128	0.001757	0.001159	0.004548	0.007937	0.000975	0.001667	LC								omnivore		species							
Cyanocorax cyanomelas	bird	2	1			1			-19.6	-19.6	-56.9	-56.9			1000.0	1000.0	0.011429	0.011429	0.011429	0.011429	0.011429		0.016129	LC								omnivore		genus							
Cyanocorax morio	bird	3	3	17	0.0588	3	5.94	10.94	18.5	10.3	-84.8	-92.1	18.500	26.600	2168.0	3500.0	0.000673	0.001562	0.002088	0.004540	0.006993	0.000130	0.009091									omnivore		species							
Cyanoloxia brissonii	bird	1	1			1			-18.7	-18.7	-48.5	-48.5	22.5	22.5	1550.0	1550.0	0.002688	0.002688	0.002688	0.002688	0.002688		0.001754																		
Cychlaris gujanensis	bird	1	1			1			10.5	10.5	-66.9	-66.9	23	23	750.0	750.0	0.010204	0.010204	0.010204	0.010204	0.010204		0.012500									frugivore		species							
Cyclarhis gujanensis	bird	96	16	75	0.1733	16	24.47	115.03	20.4	-23.6	-35.2	-86.9	15.45	26.35	436.0	2500.0	0.007368	0.006612	0.006626	0.012795	0.023041	0.002689	0.007874	LC	28.8	1	species					invertivore		species							
Cymbilaimus lineatus	bird	5	3	35	0.0286	3	22.22	35.57	13.7	-3.4	-54.9	-85.8	24.400	26.350	1920.0	2475.0	0.002671	0.003041	0.002433	0.003632	0.004831	0.000060	0.002203	LC	35.8	1	species					invertivore		species							
Cyphorhinus arada	bird	20	4			3	3.33	5.00	-2.1	-2.6	-59.7	-64.7	26.350	26.700	2475.0	2500.0	0.015540	0.010739	0.013258	0.020237	0.022293		0.011737	LC	20.9	1	species					invertivore		species							
Cyphorhinus aradus	bird	93	3	1	0.0000	2	11.66	12.70	7.8	-3.4	-54.9	-61.1	25.05	26.000	1631.0	1920.0	0.019970	0.018250	0.019936	0.021225	0.022513	0.000000	0.012370									invertivore		species							
Cyphorhinus phaeocephalus	bird	42	5	5	0.2000	2	4.07	4.37	10.4	9.2	-79.7	-84.0	26.000	27.000	2600.0	4260.0	0.014583	0.011052	0.009524	0.011990	0.061125	0.003698	0.013971	LC	24.6	1	species					invertivore		species							
Cyphorhinus thoracicus	bird	1	1			1			4.7	4.7	-75.6	-75.6	16.800	16.800	2630.0	2630.0	0.013333	0.013333	0.013333	0.013333	0.013333		0.012500	LC	33.4	1	species					invertivore		genus							
Cyphorinus arada	bird	1	1	1	0.0000	1			-0.6	-0.6	-71.0	-71.0	24.000	24.000	3500.0	3500.0	0.001144	0.001144	0.001144	0.001144	0.001144	0.000000																			
Cypsnagra hirundinacea	bird	24	2	4	0.0000	2	9.80	11.59	-15.6	-23.8	-47.6	-56.3	20.7	22.55	1291.0	1552.0	0.024267	0.016730	0.018949	0.018949	0.027848	0.000413		LC	31.4	1	species														
Dacnis cayana	bird	26	10	72	0.0972	10	21.72	86.18	13.7	-23.8	-35.2	-85.8	19.5	25.500	1291.0	3500.0	0.006237	0.005659	0.006061	0.012914	0.020134	0.000731	0.004448	LC	13	1	species					frugivore		species							
Damophila julie	bird	17	5	2	0.5000	1		0.21	9.2	9.0	-79.6	-79.7	27.000	27.000	2000.0	2750.0	0.011236	0.012271	0.009780	0.026786	0.046512	0.026217	0.025000		3.3	1	species					nectarivore		species							
Deconychura longicauda	bird	34	9	16	0.1875	6	14.13	34.28	9.2	-3.4	-50.0	-79.7	24.000	27.000	1920.0	3500.0	0.006182	0.005547	0.005582	0.008333	0.014286	0.000629	0.005176	NT	23.8	1	species					invertivore		species							
Deconychura stictolaema	bird	33	6	7	0.2857	5	10.72	22.98	-0.6	-3.4	-50.0	-71.0	24.000	26.350	1920.0	3500.0	0.008287	0.007256	0.007341	0.009108	0.013542	0.003671	0.006510		18.5	1	species					invertivore		species							
Dendrocincla anabatina	bird	63	8	9	0.6667	5	2.25	6.31	18.5	15.7	-87.5	-92.1	26.000	27.000	1500.0	3500.0	0.011465	0.013492	0.015277	0.034286	0.067742	0.010415	0.060526	LC	37.4	1	species					invertivore		species							
Dendrocincla fuliginosa	bird	126	19	49	0.3469	13	17.90	88.61	10.4	-22.9	-52.2	-84.0	15.500	27.000	876.0	4260.0	0.009105	0.010860	0.013730	0.019328	0.042553	0.005865	0.005735	LC	38.7	1	species					invertivore		species							
Dendrocincla homochroa	bird	101	8	24	0.1667	5	6.87	17.47	17.6	9.2	-79.7	-92.7	18.500	27.000	1500.0	3035.0	0.028759	0.012916	0.012675	0.048059	0.062857	0.008242	0.049465	LC	40.8294011712148	2	species					invertivore		species							
Dendrocincla merula	bird	227	14	16	0.6250	10	11.88	54.15	7.8	-14.1	-50.0	-74.7	24.000	26.700	1450.0	3500.0	0.023698	0.017675	0.023378	0.047237	0.091667	0.023283	0.018950	LC	50.1554495412863	3	species					invertivore		species							
Dendrocincla turdina	bird	33	4	1	1.0000	3	6.34	10.10	-14.5	-23.2	-39.1	-44.2	23.000	24.000	1700.0	2000.0	0.033986	0.030077	0.033312	0.052566	0.055749	0.049383	0.037369		39	1	species					invertivore		species							
Dendrocincla tyrannina	bird	1	1			1			-4.3	-4.3	-79.0	-79.0					0.001105	0.001105	0.001105	0.001105	0.001105		0.004167	LC	54.9	1	species					invertivore		species							
Dendrocolaptes certhia	bird	36	10	60	0.1167	8	20.69	60.56	18.5	-10.0	-54.9	-92.1	24.400	27.000	1500.0	4260.0	0.004443	0.005522	0.006845	0.012362	0.025641	0.001077	0.003578	LC	68.7	1	species					invertivore		species							
Dendrocolaptes concolor	bird	2	1			1			-14.1	-14.1	-60.9	-60.9	25.500	25.500	1450.0	1450.0	0.003125	0.003125	0.003125	0.003125	0.003125											invertivore		genus							
Dendrocolaptes hoffmannsi	bird	43	1			1			-3.0	-3.0	-50.0	-50.0					0.129909	0.129909	0.129909	0.129909	0.129909		0.215000	VU	83	1	species					invertivore		genus							
Dendrocolaptes picumnus	bird	5	4	51	0.0196	4	26.47	53.14	13.7	-19.6	-54.9	-85.8	24.400	25.6	876.0	2274.0	0.002680	0.004722	0.006996	0.016353	0.021277	0.000085	0.001807	LC	71.8808794182278	3	species					invertivore		species							
Dendrocolaptes platyrostris	bird	38	5	6	0.1667	5	7.35	20.37	-10.2	-23.7	-45.9	-52.2	19.3	24.000	1200.0	1661.0	0.010756	0.011565	0.008065	0.021505	0.033557	0.003641	0.006466	LC	61.7	1	species					invertivore		species							
Dendrocolaptes sanctithomae	bird	5	1			1			10.3	10.3	-84.8	-84.8	18.500	18.500	2500.0	2500.0	0.009524	0.009524	0.009524	0.009524	0.009524			LC	66.9	1	species					invertivore		species							
Dendrocygna viduata	bird	1	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.000756	0.000756	0.000756	0.000756	0.000756		0.000181	LC	690	1	species														
Dendroplex picus	bird	95	6	19	0.1579	6	15.38	35.46	10.7	-16.3	-56.8	-67.9	25.500	27.300	430.0	2475.0	0.013568	0.011012	0.013808	0.014879	0.050420	0.007352	0.012933	LC								invertivore		species							
Dichrozona cincta	bird	17	5	7	0.1429	4	12.30	21.30	-0.6	-3.4	-50.0	-71.0	24.000	25.05	1920.0	3500.0	0.004646	0.004280	0.004167	0.004785	0.005721	0.001836	0.003623	LC	16	1	species					invertivore		species							
Diglossa albilatera	bird	28	3	4	0.0000	2	9.49	9.97	5.0	-4.3	-75.4	-79.0	13.000	13.000	2500.0	2500.0	0.023470	0.014444	0.010526	0.019075	0.027624	0.017070	0.034568	LC	10.2	1	species					frugivore	invertivore	species							
Diglossa baritula	bird	1	1			1			15.3	15.3	-92.7	-92.7	26.85	26.85	1993.0	1993.0	0.001387	0.001387	0.001387	0.001387	0.001387		0.006667	LC	9.2	1	species					frugivore	invertivore	genus							
Diglossa brunneiventris	bird	2	1			1			-14.1	-14.1	-73.0	-73.0	11.7	11.7	677.0	677.0	0.014085	0.014085	0.014085	0.014085	0.014085			LC	12	1	species					frugivore	invertivore	species							
Diglossa caerulescens	bird	4	1			1			-4.3	-4.3	-79.0	-79.0					0.004420	0.004420	0.004420	0.004420	0.004420		0.016667	LC								frugivore	invertivore	species							
Diglossa cyanea	bird	29	4	4	0.2500	3	6.34	9.98	5.0	-4.3	-75.4	-79.0	13.000	16.800	2500.0	2630.0	0.023144	0.019365	0.019383	0.029184	0.036269	0.014225	0.032584	LC								invertivore		species							
Diglossa humeralis	bird	1	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.007353	0.007353	0.007353	0.007353	0.007353			LC	13.3	1	species					frugivore	invertivore	genus							
Diglossa lafresnayii	bird	18	2	3	0.0000	2	9.43	10.33	4.6	-4.3	-73.7	-79.0	13.6	13.6	1861.0	1861.0	0.017291	0.025495	0.041185	0.041185	0.073529	0.011372	0.033333	LC	16	1	species					frugivore	invertivore	genus							
Diglossa sittoides	bird	4	2	4	0.0000	2	12.37	12.87	5.0	-7.4	-75.4	-78.8	13.000	15.45	895.0	2500.0	0.005908	0.007366	0.007840	0.007840	0.010526	0.001847	0.008316	LC	9	1	species					nectarivore		species							
Diglossopis caerulescens	bird	1	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.007353	0.007353	0.007353	0.007353	0.007353				14.6	1	species														
Diglossopis cyanea	bird	6	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.044118	0.044118	0.044118	0.044118	0.044118				17.4	1	species														
Diuca diuca	bird	7	2	1	0.0000	2	2.00	2.47	-33.4	-35.4	-70.5	-72.3	13.35	14.800	434.0	481.0	0.002888	0.003733	0.015768	0.015768	0.031088	0.000000	0.003084	LC	36.8	1	species					granivore		species							
Dives dives	bird	19	2			2	2.22	1.35	17.2	15.8	-88.5	-88.7	25.75	26.600	2500.0	3500.0	0.004667	0.004442	0.004449	0.004449	0.004696			LC	100	1	species					granivore	invertivore	species							
Dives warszewiczi	bird	3	2			2	3.00	3.12	-4.3	-7.4	-78.8	-79.0	15.45	15.45	895.0	895.0	0.002017	0.001949	0.002271	0.002271	0.003436		0.006881	LC	73.3	1	species					granivore	invertivore	genus							
Dixiphia pipra	bird	114	5	17	0.1765	5	22.44	50.40	-0.6	-14.5	-39.1	-76.2	24.000	26.000	2000.0	3100.0	0.078947	0.072150	0.056604	0.072508	0.193966	0.007480	0.118503																		
Donacobius atricapilla	bird	1	1			1			-17.0	-17.0	-45.9	-45.9	22.500	22.500	1442.0	1442.0	0.001536	0.001536	0.001536	0.001536	0.001536			LC	36.8	1	species					invertivore		species							
Doryfera ludovicae	bird	2	2	4	0.0000	2	9.49	9.97	5.0	-4.3	-75.4	-79.0	13.000	13.000	2500.0	2500.0	0.001821	0.002393	0.003143	0.003143	0.005181	0.000000	0.003810	LC	6	1	species					nectarivore	invertivore	species							
Dromococcyx pavoninus	bird	1	1			1			7.8	7.8	-61.1	-61.1	26.000	26.000	1631.0	1631.0	0.000409	0.000409	0.000409	0.000409	0.000409			LC	46.4	1	species														
Drymophila ochropyga	bird	1	1			1			-23.7	-23.7	-46.9	-46.9	19.3	19.3	1661.0	1661.0	0.001572	0.001572	0.001572	0.001572	0.001572		0.002793	NT	10.5	1	species					invertivore		species							
Drymophila squamata	bird	24	3	1	0.0000	2	9.44	9.92	-14.5	-23.2	-39.1	-44.2	23.000	24.000	1700.0	2000.0	0.029666	0.028351	0.034483	0.036405	0.038328	0.000000	0.035874	LC	10.8	1	species					invertivore		species							
Dryocopus lineatus	bird	4	3	32	0.0312	3	30.17	46.87	9.3	-17.0	-45.9	-79.1	22.500	26.000	1442.0	1631.0	0.001195	0.001709	0.003072	0.003520	0.003968	0.000070	0.030303		194	1	species					invertivore		species							
Dubusia taeniata	bird	4	2	3	0.0000	2	9.43	10.33	4.6	-4.3	-73.7	-79.0	13.6	13.6	1861.0	1861.0	0.003842	0.004937	0.011582	0.011582	0.022059	0.001421	0.004167	LC	37	1	species					frugivore		species							
Dumatella carolinensis	bird	4	1			1			17.2	17.2	-88.7	-88.7	25.75	25.75	2500.0	2500.0	0.016807	0.016807	0.016807	0.016807	0.016807																				
Dumetella carolinensis	bird	409	8	30	0.1667	6	7.54	23.06	20.4	9.2	-79.8	-95.1	25.500	28.4	1050.0	3500.0	0.055293	0.022758	0.029611	0.061411	0.095226	0.027016	0.027990	LC	35.3	1	species					invertivore	frugivore	species							
Dysithamnus mentalis	bird	149	15	63	0.1905	10	21.95	81.44	10.3	-23.7	-35.0	-84.8	16.800	25.000	1200.0	2630.0	0.026246	0.022233	0.023585	0.059466	0.094595	0.005762	0.033156	LC	14.8731706433787	3	species					invertivore		species							
Dysithamnus puncticeps	bird	7	1			1			9.2	9.2	-79.7	-79.7	27.000	27.000	2750.0	2750.0	0.017115	0.017115	0.017115	0.017115	0.017115		0.043750	LC	14.9	1	species					invertivore		species							
Dysithamnus striaticeps	bird	5	2			1		0	10.4	10.4	-84.0	-84.0	26.000	26.000	4260.0	4260.0	0.003060	0.003074	0.003358	0.003358	0.004710		0.002083	LC	12	1	species					invertivore		genus							
Elaenia albiceps	bird	549	4	6	0.1667	4	23.51	32.68	-4.3	-35.4	-70.5	-79.0	13.35	15.45	434.0	895.0	0.140373	0.061697	0.058025	0.151043	0.219184	0.151791	0.202882	LC	15.5	1	species					invertivore		species							
Elaenia chiriquensis	bird	175	9	47	0.0851	7	22.01	66.32	10.4	-23.8	-45.9	-79.6	19.5	27.000	436.0	2000.0	0.028830	0.012038	0.008403	0.035714	0.173418	0.008133	0.017520	LC	15.4	1	species					omnivore		species							
Elaenia cristata	bird	98	2	4	0.0000	2	14.06	15.06	-6.7	-15.6	-35.2	-47.6	20.7	20.7	1552.0	1552.0	0.104145	0.073075	0.080774	0.080774	0.115190	0.076433	0.023333	LC	18.2	1	species					invertivore	frugivore	genus							
Elaenia flavogaster	bird	77	15	74	0.1622	11	27.64	81.31	15.8	-23.8	-39.1	-88.5	15.500	27.000	436.0	3500.0	0.006855	0.010081	0.009732	0.027197	0.071429	0.001870	0.023718	LC	24.8	1	species					frugivore		species							
Elaenia frantzii	bird	12	5	7	0.2857	3	3.70	6.65	13.7	9.6	-81.7	-85.8	13.250	24.400	2274.0	2550.0	0.007030	0.007037	0.008000	0.010438	0.013889	0.001772		LC	19.6	1	species					frugivore		species							
Elaenia martinica	bird	87	1			1			20.4	20.4	-86.9	-86.9	25.500	25.500	1505.0	1505.0	0.034744	0.034744	0.034744	0.034744	0.034744		0.402778	LC	20.7956961226906	6	species					invertivore	frugivore	genus							
Elaenia mesoleuca	bird	12	3	2	0.0000	3	5.83	9.50	-20.8	-23.2	-44.2	-52.2	20.5	23.000	1200.0	1700.0	0.005605	0.007248	0.004638	0.014224	0.023810	0.003131	0.003236	LC								invertivore	frugivore	species							
Elaenia obscura	bird	63	4	11	0.0000	3	12.76	24.35	-15.6	-27.2	-46.6	-65.6	18.800	20.7	1500.0	1700.0	0.014276	0.004775	0.001944	0.055854	0.109589	0.011521	0.039769	LC	23.9	1	species					invertivore	frugivore	species							
Elaenia palltangae	bird	3	1			1			-4.3	-4.3	-79.0	-79.0					0.003315	0.003315	0.003315	0.003315	0.003315		0.012500									invertivore	frugivore	genus							
Elaenia parvirostris	bird	336	8	37	0.0811	7	23.00	62.29	10.7	-27.2	-45.9	-67.9	15.500	27.300	430.0	1951.0	0.033271	0.007139	0.008295	0.017639	0.086864	0.015913	0.041988	LC	13.8	1	species					frugivore	invertivore	species							
Elaenia spectabilis	bird	11	3	10	0.1000	3	20.06	27.80	-8.5	-18.7	-48.5	-74.9	22.5	26.100	1550.0	2400.0	0.006135	0.008008	0.003782	0.027144	0.050505	0.001550	0.001756	LC	27.3	1	species					omnivore		species							
Elaenia strepera	bird	62	2	1	0.0000	2	0.98	0.53	10.7	10.4	-63.7	-64.2	26.35	27.300	430.0	436.0	0.013285	0.003663	0.009657	0.009657	0.018592	0.018287	0.057407	LC	19.3	1	species					invertivore	frugivore	species							
Electron carinatum	bird	2	1			1			13.7	13.7	-85.8	-85.8	24.400	24.400	2274.0	2274.0	0.004866	0.004866	0.004866	0.004866	0.004866			VU	64.9	1	species					omnivore		species							
Electron platyrhynchum	bird	5	4	26	0.0769	4	16.58	27.08	10.4	-10.0	-67.6	-84.0	26.000	27.000	1875.0	4260.0	0.004042	0.005537	0.006092	0.017722	0.025641	0.000221	0.002941	LC	73	1	species					frugivore	invertivore	species							
Eleothreptus candicans	bird	6	1			1			-23.8	-23.8	-56.3	-56.3	22.55	22.55	1291.0	1291.0	0.030151	0.030151	0.030151	0.030151	0.030151			EN																	
Emberizoides herbicola	bird	27	3	7	0.0000	3	7.93	15.37	-15.6	-23.8	-46.6	-56.3	19.5	22.55	1291.0	1552.0	0.018000	0.018443	0.017722	0.018911	0.020101	0.002641	0.025070	LC	27.4865421615743	2	species					granivore		species							
Embernagra platensis	bird	4	1			1			-21.8	-21.8	-46.6	-46.6	19.5	19.5	1500.0	1500.0	0.007828	0.007828	0.007828	0.007828	0.007828		0.011142	LC	45.5	1	species					frugivore		species							
Empidonax affinis	bird	5	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.014535	0.014535	0.014535	0.014535	0.014535		0.019531	LC	11.3	1	species					invertivore	frugivore	genus							
Empidonax albigularis	bird	1	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.000261	0.000261	0.000261	0.000261	0.000261			LC	9.58123165360279	2	species					invertivore	frugivore	species							
Empidonax alnorum	bird	6	2	20	0.0000	2	25.44	26.30	10.3	-9.9	-67.9	-84.8	18.500	26.100	1951.0	2500.0	0.003128	0.002519	0.002730	0.002730	0.003782	0.000000	0.000904	LC	12.7	1	species					invertivore		species							
Empidonax euleri	bird	99	3	2	0.0000	2	13.03	13.82	-14.1	-27.2	-60.9	-65.6	18.800	25.500	1450.0	1700.0	0.026386	0.015785	0.021893	0.030109	0.038325	0.002604	0.080000									invertivore		species							
Empidonax flavescens	bird	25	6	13	0.3077	4	6.47	12.84	15.3	9.6	-81.7	-92.7	13.250	26.85	1993.0	2550.0	0.017819	0.018935	0.019806	0.038889	0.141026	0.004269	0.041667	LC	12.5	1	species					invertivore	frugivore	genus							
Empidonax flaviventris	bird	15	5	19	0.1579	5	5.49	14.60	18.4	10.3	-84.8	-94.9	18.500	27.000	1500.0	3500.0	0.002694	0.003237	0.002667	0.005034	0.006993	0.001292	0.002703	LC	11.8	1	species					invertivore		species							
Empidonax fulvifrons	bird	2	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.005814	0.005814	0.005814	0.005814	0.005814		0.007812	LC	7.9	1	species					invertivore	frugivore	genus							
Empidonax hammondii	bird	1	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.002907	0.002907	0.002907	0.002907	0.002907		0.003906	LC	10.6	1	species					invertivore		species							
Empidonax minimus	bird	46	7	12	0.3333	5	3.94	9.87	18.4	14.3	-88.5	-94.9	25.000	26.85	1873.0	3500.0	0.008528	0.014591	0.029586	0.036943	0.083916	0.005042	0.053512	LC	10	1	species					invertivore		species							
Empidonax occidentalis	bird	8	1			1			20.1	20.1	-98.4	-98.4	16.85	16.85	1107.0	1107.0	0.023256	0.023256	0.023256	0.023256	0.023256		0.031250	LC	11.6	1	species					invertivore	frugivore	genus							
Empidonax trailii	bird	6	1			1			15.8	15.8	-88.5	-88.5	26.600	26.600	3500.0	3500.0	0.001565	0.001565	0.001565	0.001565	0.001565											invertivore		species							
Empidonax traillii	bird	3	2	11	0.0000	2	12.02	13.09	9.2	-0.6	-71.0	-79.8	24.000	27.000	2600.0	3500.0	0.003058	0.004625	0.009918	0.009918	0.018692	0.000000	0.012821	LC	13.1	1	species					invertivore	frugivore	species							
Empidonax virescens	bird	8	3	14	0.0714	3	12.35	20.94	13.7	-4.3	-79.0	-85.8	24.400	27.000	2274.0	2600.0	0.005706	0.007511	0.005128	0.011910	0.018692	0.000380	0.015152	LC	12.6	1	species					invertivore		species							
Ensifera ensifera	bird	1	1			1			5.0	5.0	-75.4	-75.4	13.000	13.000	2500.0	2500.0	0.005181	0.005181	0.005181	0.005181	0.005181		0.003509	LC	11.2	1	species					nectarivore	invertivore	species							
Epinecrophylla erythrura	bird	1	1			1			-0.6	-0.6	-76.2	-76.2	25.000	25.000	3100.0	3100.0	0.002732	0.002732	0.002732	0.002732	0.002732		0.005208	LC								invertivore		genus							
Epinecrophylla fjeldsaai	bird	1	1			1			-0.6	-0.6	-76.2	-76.2	25.000	25.000	3100.0	3100.0	0.002732	0.002732	0.002732	0.002732	0.002732		0.005208	LC								invertivore		genus							
Epinecrophylla gutturalis	bird	24	1			1			-2.4	-2.4	-59.7	-59.7	26.700	26.700	2500.0	2500.0	0.038217	0.038217	0.038217	0.038217	0.038217		0.017857									invertivore		genus							
Epinecrophylla haematonota	bird	10	2			1		0.00	-2.6	-2.6	-64.7	-64.7			2500.0	2500.0	0.024691	0.023028	0.023674	0.023674	0.029167		0.125000	LC								invertivore		species							
Epinecrophylla ornata	bird	1	1			1			-9.8	-9.8	-67.7	-67.7	26.000	26.000	1875.0	1875.0	0.009804	0.009804	0.009804	0.009804	0.009804		0.012500	LC								invertivore		species							
Eriocnemis cupreoventris	bird	4	1			1			4.6	4.6	-73.7	-73.7	13.6	13.6	1861.0	1861.0	0.029412	0.029412	0.029412	0.029412	0.029412			NT	5.3	1	species					nectarivore	invertivore	genus							
Eriocnemis derbyi	bird	1	1			1			5.0	5.0	-75.4	-75.4	13.000	13.000	2500.0	2500.0	0.005181	0.005181	0.005181	0.005181	0.005181		0.003509	NT								nectarivore	invertivore	genus							
Eriocnemis glaucopoides	bird	7	2			2	3.00	2.62	-24.8	-27.2	-64.7	-65.6	18.800	20.000	739.0	1700.0	0.004534	0.005754	0.006025	0.006025	0.007812		0.010870	LC	3.7	1	species					nectarivore	invertivore	species							
Eriocnemis vestita	bird	21	1			1			-4.3	-4.3	-79.0	-79.0					0.023204	0.023204	0.023204	0.023204	0.023204		0.087500	LC								nectarivore	invertivore	genus							
