species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	forearm length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source
Lasiurus intermedius	bat	57	3	9	0.0000	2	7.76	6.63	21.0	16.6	-89.6	-94.9	26.35	27	1048.0	1050.0	0.022619	0.005794	0.002551	0.017405	0.032258	0.000000	0.003509	LC	14.9732228204993		genus														invertivore		genus
Leptonycteris curasoae	bat	18	3	9	0.1111	3	6.08	10.32	19.4	16.4	-94.6	-105.0	24.600	27.600	788.0	1017.0	0.033708	0.023295	0.036649	0.044366	0.052083	0.000166	0.236111	VU	22.6000160498117	51	species														nectarivore		species
Leptonycteris nivalis	bat	11	3	3	0.0000	3	3.42	7.08	21.4	18.4	-95.0	-100.5	16.000	27.000	332.0	4900.0	0.004889	0.011475	0.019417	0.091341	0.163265	0.036842	0.002333	EN	23	4	species														nectarivore		species
Leptonycteris yerbabuenae	bat	21	3	8	0.1250	3	3.96	7.77	21.4	16.6	-94.9	-100.5	16.000	27.000	332.0	4964.0	0.010864	0.010145	0.009456	0.082398	0.155340	0.000180	0.007741	VU	24.2705288133414	363	species														nectarivore		species
Lichonycteris degener	bat	1	1			1			-1.5	-1.5	-48.5	-48.5	24.9	24.9	3374.0	3374.0	0.000540	0.000540	0.000540	0.000540	0.000540		0.000617		6.96526111024371		genus														nectarivore		genus
Lichonycteris obscura	bat	5	5	54	0.0370	4	30.24	68.08	16.8	-17.1	-46.8	-91.1	24.000	26.35	1941.0	5942.0	0.002437	0.003478	0.002304	0.008621	0.012987	0.000099	0.010460	LC	6.96526111024371	8	species	6.75434107792558	4	7	1										nectarivore		species
Lionycteris spurrelli	bat	27	6	11	0.2727	6	13.61	43.83	5.0	-13.3	-43.4	-62.3	20.55	25.9	910.0	3374.0	0.007434	0.006234	0.004975	0.022044	0.038462	0.004458	0.001790	LC	7.80384520605067	2	species														nectarivore		species
Lonchophylla bokermanni	bat	14	2	3	0.0000	2	2.10	1.84	-22.5	-23.1	-42.0	-43.9	22.500	24.55	1140.0	1240.0	0.004834	0.002551	0.004128	0.004128	0.007374	0.000000	0.043624	DD	10.5672531363569		genus														nectarivore		genus
Lonchophylla concava	bat	25	1			1			8.6	8.6	-83.5	-83.5	25.000	25.000	6000.0	6000.0	0.080645	0.080645	0.080645	0.080645	0.080645			NT	8.08431655120108	3	species			8.08431655120108	3										nectarivore		genus
Lonchophylla dekeyseri	bat	41	1			1			-17.5	-17.5	-54.4	-54.4	22.000	22.000	1500.0	1500.0	0.080868	0.080868	0.080868	0.080868	0.080868		0.216931	NT	10.5672531363569		genus														nectarivore		species
Lonchophylla handleyi	bat	2	1			1			-10.1	-10.1	-75.6	-75.6	22.600	22.600	2300.0	2300.0	0.007812	0.007813	0.007812	0.007812	0.007812		0.027778	LC	17	2	species														nectarivore		genus
Lonchophylla hesperia	bat	1	1			1			-3.8	-3.8	-80.3	-80.3			1450.0	1450.0	0.001284	0.001284	0.001284	0.001284	0.001284			NT	10.5672531363569		genus														nectarivore		genus
Lonchophylla mordax	bat	104	8	37	0.1351	7	21.86	64.32	9.5	-15.3	-36.9	-75.4	24.000	28	573.0	2800.0	0.017799	0.018527	0.029883	0.078048	0.121019	0.006712	0.027469	LC	10	19	species														nectarivore		genus
Lonchophylla robusta	bat	1	1			1			4.4	4.4	-74.8	-74.8	25.700	25.700	3116.0	3116.0	0.007143	0.007143	0.007143	0.007143	0.007143		0.016667	LC	13.4728709630589	10	species	13.5689851447829	5	13.635131201749	3										nectarivore		species
Lonchophylla thomasi	bat	47	11	10	0.7000	9	12.39	47.46	4.7	-11.0	-43.1	-73.4	20.55	27.000	1400.0	3374.0	0.006450	0.007648	0.006452	0.010298	0.051095	0.007322	0.008511	LC	7.38657762736888	8	species														nectarivore		species
Lonchorhina aurita	bat	12	5	111	0.0180	5	37.42	83.42	17.5	-24.3	-35.1	-92.8	20.000	25.000	1025.0	3500.0	0.004501	0.005706	0.004608	0.005391	0.022989	0.000182	0.007868	LC	17	1	species			17	1										invertivore		species
Lophostoma brasiliense	bat	54	19	80	0.2000	17	23.88	123.10	18.4	-18.4	-35.1	-95.0	20.55	27.000	1025.0	4900.0	0.003517	0.003522	0.003367	0.009369	0.015707	0.001246	0.006530	LC	10.2050963584836	5	species														invertivore	carnivore	species
Lophostoma carrikeri	bat	58	4	7	0.2857	4	9.57	20.15	4.7	-3.0	-43.1	-58.9	20.55	27.000	1400.0	3374.0	0.016773	0.008479	0.007439	0.054301	0.098563	0.002635	0.020152	LC	20.671634519327		genus														invertivore	carnivore	genus
Lophostoma evotis	bat	7	2			2	3.83	3.96	17.8	17.5	-88.7	-92.8	22.000	27.000	1480.0	3500.0	0.003688	0.003034	0.003183	0.003183	0.004144		0.006173	LC	20.671634519327		genus														invertivore		species
Lophostoma silvicolum	bat	153	28	62	0.3871	20	19.32	118.71	10.4	-17.1	-35.1	-80.3	20.55	29.500	1025.0	5942.0	0.009695	0.007759	0.009905	0.019564	0.057495	0.006353	0.020313	LC	29.4207454170393	15	species					30	56			28.3	14.7			10.5	invertivore		species
Macrophyllum macrophyllum	bat	2	2	13	0.0000	2	38.49	38.56	4.9	-10.9	-37.1	-72.4	26	26.45	1077.0	1538.0	0.002014	0.002053	0.002093	0.002093	0.002500	0.000000	0.010929	LC	9.32169751786158	3	species			9.48683298050514	2										invertivore		species
Mesophylla macconnelli	bat	70	14	27	0.3704	13	15.33	81.31	4.9	-18.4	-48.5	-75.8	15.200	29.500	1077.0	3374.0	0.006914	0.005918	0.005504	0.008921	0.116667	0.005018	0.007605	LC	8.52678236103695	10	species														frugivore		species
Micronycteris hirsuta	bat	12	5	39	0.0513	4	25.51	57.20	10.4	-15.3	-39.1	-75.6	22.600	26.700	1500.0	2500.0	0.003017	0.003269	0.003205	0.003906	0.010782	0.000598	0.008403	LC	13.6080218397877	17	species	10.5	1	11.9494769760019	2										invertivore		species
Micronycteris megalotis	bat	68	29	126	0.1905	25	28.86	145.02	21.0	-24.3	-36.9	-103.9	18.7	29.500	650.0	7850.0	0.003911	0.004680	0.005038	0.011050	0.038095	0.001192	0.013130	LC	6.39910434376483	8	species	6.92820323027551	2												invertivore		species
Micronycteris microtis	bat	45	14	103	0.1068	13	27.67	103.21	19.4	-22.6	-39.1	-105.0	14.500	29.500	788.0	3500.0	0.006946	0.006920	0.006413	0.007331	0.073298	0.000895	0.013102	LC	6.01986798463889	5	species	6	1	6	3										invertivore		species
Micronycteris minuta	bat	23	13	57	0.1754	12	20.16	80.12	4.7	-22.5	-42.0	-80.3	18.7	26.100	1140.0	5942.0	0.002261	0.003129	0.003155	0.005277	0.032258	0.000921	0.004255	LC	7.38266690136242	10	species	7.1	1	6.5	1										invertivore		species
Micronycteris nicefori	bat	3	1			1			9.5	9.5	-75.4	-75.4	26.800	26.800	1100.0	1100.0	0.028571	0.028571	0.028571	0.028571	0.028571				9.16515138991168	4	species	8.4	1	8.4	1										invertivore		genus
Micronycteris sanborni	bat	9	2	1	0.0000	2	2.23	2.46	-7.5	-9.8	-36.9	-37.7	26.200	28	573.0	650.0	0.035019	0.022573	0.030478	0.030478	0.050955	0.044586	0.022222	DD	6.2	8	species														invertivore		genus
Micronycteris schmidtorum	bat	14	7	62	0.0484	6	25.07	55.01	10.4	-19.6	-39.1	-78.5	22.000	26.700	910.0	2500.0	0.003110	0.003419	0.002695	0.012173	0.018519	0.000435	0.005319	LC	6.99284618380845	4	species			7	1										invertivore		species
Mimon bennettii	bat	27	6	85	0.0353	4	33.53	65.53	18.4	-23.0	-43.4	-95.0	18.7	27.000	1241.0	4964.0	0.005344	0.004679	0.005250	0.006099	0.006873	0.000157	0.011719	LC	31.0585587420932	8	species			25.2	1										omnivore		species
Mimon cozumelae	bat	21	3	1	0.0000	3	2.55	4.12	17.8	17.2	-88.7	-92.8	22.000	27.000	1480.0	3500.0	0.010264	0.008723	0.011050	0.019038	0.027027	0.010359	0.016461	LC	22.5172077810958	5	species	24.0224894630011	2	21.566461010052	3										invertivore		species
Mimon crenulatum	bat	171	21	69	0.2464	21	23.41	127.97	17.8	-19.2	-36.9	-90.8	20.55	29.500	650.0	3374.0	0.012518	0.010606	0.009615	0.020000	0.062208	0.006010	0.026009	LC	14.4164614904877	26	species	16.5	1	14.5	1										invertivore		species
Molossops greenhalli	bat	1	1			1			-2.4	-2.4	-59.7	-59.7	26.700	26.700	2500.0	2500.0	0.001068	0.001068	0.001068	0.001068	0.001068		0.003534		18.9924254202233	3	species	19.5089722948186	2												invertivore		species
Molossops neglectus	bat	13	1			1			-23.4	-23.4	-51.9	-51.9	20.15	20.15	1517.0	1517.0	0.020031	0.020031	0.020031	0.020031	0.020031		0.180556	DD	10.988630487918	2	species														invertivore		genus
Molossops temminckii	bat	78	15	80	0.1500	13	15.41	71.06	8.8	-23.5	-36.9	-75.9	20.95	28.000	650.0	2000.0	0.017764	0.022860	0.019417	0.033987	0.375000	0.002146	0.010398	LC	6.22900754362525	26	species					11		54	6			25	79		invertivore		species
