commonName,genus
Brace's emerald,Riccordia
Hispaniolan emerald,Riccordia
Puerto Rican emerald,Riccordia
Blue-headed hummingbird,Riccordia
Broad-billed hummingbird,Cynanthus
Tres Marias hummingbird,Cynanthus
Turquoise-crowned hummingbird,Cynanthus
Golden-crowned emerald,Cynanthus
Cozumel emerald,Cynanthus
Canivet's emerald,Cynanthus
Garden emerald,Chlorostilbon
Western emerald,Chlorostilbon
Red-billed emerald,Chlorostilbon
Blue-tailed emerald,Chlorostilbon
Chiribiquete emerald,Chlorostilbon
Glittering-bellied emerald,Chlorostilbon
Coppery emerald,Chlorostilbon
Narrow-tailed emerald,Chlorostilbon
Green-tailed emerald,Chlorostilbon
Short-tailed emerald,Chlorostilbon
White-eared hummingbird,Basilinna
Xantus's hummingbird,Basilinna
Curve-winged sabrewing,Pampa
Wedge-tailed sabrewing,Pampa
Rufous sabrewing,Pampa
Emerald-chinned hummingbird,Abeillia
Violet-headed hummingbird,Klais
Antillean crested hummingbird,Orthorhyncus
Santa Marta blossomcrown,Anthocephala
Tolima blossomcrown,Anthocephala
Green-crowned plovercrest,Stephanoxis
Purple-crowned plovercrest,Stephanoxis
Grey-breasted sabrewing,Campylopterus
Outcrop sabrewing,Campylopterus
Diamantina sabrewing,Campylopterus
Rufous-breasted sabrewing,Campylopterus
White-tailed sabrewing,Campylopterus
Lazuline sabrewing,Campylopterus
Santa Marta sabrewing,Campylopterus
Violet sabrewing,Campylopterus
Buff-breasted sabrewing,Campylopterus
Napo sabrewing,Campylopterus
Bronze-tailed plumeleteer,Chalybura
White-vented plumeleteer,Chalybura
Crowned woodnymph,Thalurania
Fork-tailed woodnymph,Thalurania
Long-tailed woodnymph,Thalurania
Violet-capped woodnymph,Thalurania
Snowcap,Microchera
Coppery-headed emerald,Microchera
White-tailed emerald,Microchera
Violet-capped hummingbird,Goldmania
Pirre hummingbird,Goldmania
Mexican woodnymph,Eupherusa
White-tailed hummingbird,Eupherusa
Oaxaca hummingbird,Eupherusa
Stripe-tailed hummingbird,Eupherusa
Black-bellied hummingbird,Eupherusa
Scaly-breasted hummingbird,Phaeochroa
Buffy hummingbird,Leucippus
Tumbes hummingbird,Thaumasius
Spot-throated hummingbird,Thaumasius
Many-spotted hummingbird,Taphrospilus
Swallow-tailed hummingbird,Eupetomena
Sombre hummingbird,Eupetomena
Olive-spotted hummingbird,Talaphorus
Red-billed streamertail,Trochilus
Black-billed streamertail,Trochilus
Violet-crowned hummingbird,Ramosomyia
Green-fronted hummingbird,Ramosomyia
Cinnamon-sided hummingbird,Ramosomyia
Azure-crowned hummingbird,Saucerottia
Blue-vented hummingbird,Saucerottia
Berylline hummingbird,Saucerottia
Blue-tailed hummingbird,Saucerottia
Snowy-bellied hummingbird,Saucerottia
Steely-vented hummingbird,Saucerottia
Indigo-capped hummingbird,Saucerottia
Chestnut-bellied hummingbird,Saucerottia
Green-bellied hummingbird,Saucerottia
Copper-tailed hummingbird,Saucerottia
Copper-rumped hummingbird,Saucerottia
Cinnamon hummingbird,Amazilia
Buff-bellied hummingbird,Amazilia
Rufous-tailed hummingbird,Amazilia
Honduran emerald,Amazilia
Mangrove hummingbird,Amazilia
Amazilia hummingbird,Amazilis
Andean emerald,Uranomitra
Shining-green hummingbird,Chrysuronia
Golden-tailed sapphire,Chrysuronia
Versicolored emerald,Chrysuronia
